BFS;GEMEINDE;Bevoelkerung_20-64
131;Adliswil;12120
241;Aesch (ZH);1011
1;Aeugst am Albis;1210
2;Affoltern am Albis;7731
211;Altikon;432
291;Andelfingen;2047
51;Bachenbülach;2488
81;Bachs;385
52;Bassersdorf;7522
297;Bauma;3060
22;Benken (ZH);513
23;Berg am Irchel;347
242;Birmensdorf (ZH);4287
3;Bonstetten;3333
82;Boppelsen;842
213;Brütten;1294
112;Bubikon;4355
24;Buch am Irchel;611
83;Buchs (ZH);4239
111;Bäretswil;2921
53;Bülach;15085
25;Dachsen;1159
86;Dielsdorf;3970
243;Dietikon;18085
54;Dietlikon;4812
216;Dinhard;983
26;Dorf;452
214;Dägerlen;697
84;Dällikon;2722
85;Dänikon;1160
215;Dättlikon;486
191;Dübendorf;20865
113;Dürnten;4708
192;Egg;5049
55;Eglisau;3356
294;Elgg;3037
218;Ellikon an der Thur;639
219;Elsau;2191
56;Embrach;6351
151;Erlenbach (ZH);3256
172;Fehraltorf;4056
27;Feuerthalen;2306
114;Fischenthal;1602
28;Flaach;902
29;Flurlingen;916
57;Freienstein-Teufen;1379
193;Fällanden;5625
244;Geroldswil;2985
58;Glattfelden;3389
115;Gossau (ZH);6202
194;Greifensee;3029
116;Grüningen;2302
220;Hagenbuch;713
4;Hausen am Albis;2307
5;Hedingen;2406
31;Henggart;1337
152;Herrliberg;3881
221;Hettlingen;1901
117;Hinwil;7060
173;Hittnau;2337
59;Hochfelden;1145
153;Hombrechtikon;5251
295;Horgen;14246
60;Höri;2288
61;Hüntwangen;644
87;Hüttikon;578
296;Illnau-Effretikon;10727
6;Kappel am Albis;792
135;Kilchberg (ZH);5719
33;Kleinandelfingen;1280
62;Kloten;14089
7;Knonau;1434
154;Küsnacht (ZH);8394
136;Langnau am Albis;4709
34;Laufen-Uhwiesen;1083
176;Lindau;3546
63;Lufingen;1842
35;Marthalen;1117
8;Maschwanden;386
195;Maur;6409
156;Meilen;8523
9;Mettmenstetten;3283
155;Männedorf;6919
196;Mönchaltorf;2387
88;Neerach;1981
223;Neftenbach;3354
89;Niederglatt;3395
90;Niederhasli;5880
91;Niederweningen;1992
64;Nürensdorf;3358
65;Oberembrach;664
245;Oberengstringen;4265
92;Oberglatt;4980
137;Oberrieden;3007
93;Oberweningen;1165
10;Obfelden;3450
157;Oetwil am See;3208
246;Oetwil an der Limmat;1575
66;Opfikon;14463
37;Ossingen;1015
94;Otelfingen;1813
11;Ottenbach;1693
224;Pfungen;2650
177;Pfäffikon;7375
67;Rafz;2868
95;Regensberg;281
96;Regensdorf;12334
38;Rheinau;748
138;Richterswil;8246
225;Rickenbach (ZH);1599
12;Rifferswil;628
68;Rorbas;1883
178;Russikon;2609
97;Rümlang;5121
139;Rüschlikon;3668
118;Rüti (ZH);7729
226;Schlatt (ZH);433
98;Schleinikon;559
247;Schlieren;14091
197;Schwerzenbach;3167
99;Schöfflisdorf;801
119;Seegräben;888
227;Seuzach;4423
100;Stadel;1473
13;Stallikon;2294
292;Stammheim;1576
101;Steinmaur;2273
158;Stäfa;8612
39;Thalheim an der Thur;612
141;Thalwil;11218
41;Truttikon;283
40;Trüllikon;621
228;Turbenthal;3009
159;Uetikon am See;3733
248;Uitikon;3214
249;Unterengstringen;2570
250;Urdorf;6179
198;Uster;22325
43;Volken;244
199;Volketswil;12148
120;Wald (ZH);6398
69;Wallisellen;11360
200;Wangen-Brüttisellen;5135
70;Wasterkingen;330
102;Weiach;1407
251;Weiningen (ZH);3156
180;Weisslingen;2020
14;Wettswil am Albis;2963
121;Wetzikon (ZH);16289
298;Wiesendangen;3846
71;Wil (ZH);897
181;Wila;1208
182;Wildberg;600
72;Winkel;3050
230;Winterthur;75438
293;Wädenswil;15269
231;Zell (ZH);4074
161;Zollikon;7769
160;Zumikon;3109
261;Zürich;294149
